Street Address,Lat,Lng
2065 Primo Rd UNIT E,39.5630297,-105.0142064
9932 Deer Creek St,39.5363968,-105.028049
9828 Spring Hill Dr,39.53739700000001,-105.020465
2134 Primo Rd UNIT 205,38.1161623,-90.3106504
8839 Edinburgh Cir,39.555575,-105.011743
9458 Wolfe St,39.544081,-105.0101986
8887 Tappy Toorie Cir,39.5544129,-105.0132689
2476 Channel Dr,39.5657324,-105.0185449
762 Shadowstone Dr,39.5270529,-104.9981929
2366 Primo Rd UNIT 206,39.5644937,-105.017319
9622 Mountain Daisy Way,39.5412711,-105.0087378
2646 Channel Dr,39.5654899,-105.0208162
2625 Channel Dr,39.5655981,-105.02052
725 Elmhurst Dr UNIT 310,39.5448031,-104.9988363
8315 Riverscape Ct,39.5655639,-105.019334
2539 Greensborough Dr,39.5566955,-105.0187811
950 Elmhurst Dr UNIT D,39.5438825,-105.0002336
1241 Savannah Sparrow Dr,39.5338693,-105.0034424
2134 Primo Rd UNIT 207,38.1161623,-90.3106504
768 Brookhurst Ave UNIT B,39.5429819,-104.9979875
4123 Forever Cir,39.403069,-104.9068977
3235 Sellman Loop,39.3960933,-104.8967402
3142 Castle Butte Dr,39.3329307,-104.9217
2381 Thistle Ct,39.3892138,-104.9155471
4418 Fell Mist Way,39.4063716,-104.891665
5093 Zion Ct,39.3871147,-104.9172124
1785 Morningview Ln,39.3841455,-104.9038901
3937 Pecos Trl,39.402156,-104.90458
"Daniel Plan, Blacktail at The Meadows",39.3918918,-104.8807233
3725 Wonder Dr,39.40374020000001,-104.9022712
"Devoe Plan, Cityscapes at The Meadows",39.40011399999999,-104.887802
3595 Evening Pl,39.3994821,-104.8806384
3331 Starry Night Loop,39.38158749999999,-104.8987129
2702 Rising Moon Way,39.391467,-104.8853046
"Dayton Plan, Blacktail at The Meadows",39.3918918,-104.8807233
2207 Jute Ln,39.3876333,-104.8733053
1674 Bent Grass Cir,39.3847631,-104.8798279
1335 Freedom Way,39.3810441,-104.8969566
1696 Odyssey Ct,39.3837175,-104.905014
"Hanford Plan, Blacktail at The Meadows",39.3918918,-104.8807233
"Plan 1574 Plan, Meadows Villas",39.398853,-104.893649
1401 Colt Cir,39.3070228,-104.9119163
"Delaney Plan, Blacktail at The Meadows",39.3918918,-104.8807233
"Plan 1763 Plan, Meadows Villas",39.398853,-104.893649
"Soho Plan, Cityscapes at The Meadows",39.40011399999999,-104.887802
"Point Plan, Meadows at Stewart Park : The Ridgeline Collection",39.3950782,-104.89597
2888 Craig Ct,39.3934445,-104.9166649
"Greenwich Plan, Cityscapes at The Meadows",39.40011399999999,-104.887802
"Crest Plan, Meadows at Stewart Park : The Ridgeline Collection",39.3950782,-104.89597
"Prescott Plan, Blacktail at The Meadows",39.3918918,-104.8807233
"Plan 1928 Modeled Plan, Meadows Villas",39.398853,-104.893649
3385 Fantasy Pl,39.3924286,-104.8989638
3323 Gossemer Way,39.3839033,-104.8976637
"Daley Plan, Blacktail at The Meadows",39.3918918,-104.8807233
"Peak Plan, Meadows at Stewart Park : The Ridgeline Collection",39.3950782,-104.89597
2944 Setting Sun Ave,39.39403600000001,-104.884198
"Plan 1682 Modeled Plan, Meadows Villas",39.398853,-104.893649
3258 Sellman Loop,39.39448429999999,-104.896984
"Darius Plan, Blacktail at The Meadows",39.3918918,-104.8807233
"Plan 1443 Plan, Meadows Villas",39.398853,-104.893649
"Harris Plan, Blacktail at The Meadows",39.3918918,-104.8807233
"Dillon II Plan, Blacktail at The Meadows",39.3918918,-104.8807233
2385 Robindale Way,39.3889136,-104.9078369
4828 N Bearlily Way,39.409888,-104.897675
2288 Broadleaf Loop,39.3885461,-104.8972987
3518 Corsica Way,39.3996245,-104.8892293
1837 Fringe Ct,39.3848522,-104.8791437
474 Twin Oaks Rd,39.337812,-104.892482
2595 Sweet Wind Ave,39.4060502,-104.8897263
195 Prairie Hawk Dr,39.37107340000001,-104.8665106
1551 Waverton Ranch Rd,39.4169164,-104.9131203
4314 Fell Mist Way,39.404258,-104.892479
3164 W Sugarbowl Ct,39.4115293,-104.8962951
4862 N Silverlace Dr,39.4101791,-104.8960214
3795 Castle Butte Dr,39.3101045,-104.9204162
"Holbrook Plan, Blacktail at The Meadows",39.3918918,-104.8807233
3736 Sanguine Cir,39.40081869999999,-104.8956228
3551 New Haven Cir,39.39752319999999,-104.8842426
1641 Bent Grass Cir,39.3849453,-104.8796454
"Hampton Plan, Blacktail at The Meadows",39.3918918,-104.8807233
1720 Wild Rye Ct,39.3836419,-104.8790068
2828 Dreamcatcher Loop,39.393258,-104.900813
3353 Umber Cir,39.3974063,-104.8990503
3445 New Haven Cir,39.3987611,-104.8836445
3257 Sellman Loop,39.3960933,-104.8967402
1423 Candleglow St,39.3813886,-104.8979602
3304 Dawn Glow Way,39.3818332,-104.8967
1801 Promontory Dr,39.337402,-104.921646
1255 Bulrush Dr,39.3877739,-104.8752666
3920 Sunridge Terrace Dr,39.4018472,-104.9105514
2205 Stevens Ct,39.329275,-104.925827
3406 New Haven Cir,39.3989637,-104.8846621
4949 Rock Creek Dr,39.4107505,-104.9098443
2024 Wood Thrush Way,39.37277419999999,-104.8841205
4358 Fell Mist Way,39.405336,-104.892231
2810 Shadow Dance Dr,39.3929878,-104.8921848
1518 Chimney Peak Dr,39.380632,-104.873313
3280 Blue Grass Cir,39.4141508,-104.8959302
2530 Castle Butte Dr,39.310741,-104.932271
"Pearl Plan, Bella Mesa",39.3665884,-104.7977001
"HAYDEN Plan, Crystal Valley",39.32151,-104.839357
3408 Grey Ct,39.3975467,-104.8511625
"Peridot Plan, Bella Mesa",39.3665884,-104.7977001
3952 Heatherglenn Ln,39.3365216,-104.8340159
"CHATHAM Plan, Crystal Valley Pine Ridge",39.32151,-104.839357
"Ponderosa Plan, Cliffrose at Homestead at Crystal Valley",39.3255729,-104.8423538
"Sunstone Plan, Seasons at The Oaks",39.3556009,-104.8154244
5347 Gray Wolf Ln,39.3890371,-104.8469607
"Lapis Plan, The Grove at Crystal Valley",39.3394757,-104.8411745
"Lapis Plan, Bella Mesa",39.3665884,-104.7977001
600 Darby Ct,39.3646635,-104.7937106
"Ammolite Plan, Seasons at The Oaks",39.3556009,-104.8154244
"GALEN Plan, Crystal Valley",39.32151,-104.839357
271 N Ridge Rd,39.365737,-104.8242359
"Hemingway Plan, Carriage Hills at Crystal Valley",39.3218555,-104.8358543
156 S Quicksilver Ave,39.368271,-104.8021218
1136 Halfmoon Dr,39.3355495,-104.8505012
1524 Ebony Dr,39.3566968,-104.859212
211 Las Lunas St,39.3722495,-104.8169852
