House status,Name,Price,Street Address,Locality,Region,PostalCode,Size,Href
New construction,"9283 Twenty Mile Rd Unit 401, Parker, CO 80134","$352,970 ",9283 Twenty Mile Rd UNIT 401,Parker,CO,80134,"1,147",https://www.zillow.com/homedetails/9283-Twenty-Mile-Rd-UNIT-401-Parker-CO-80134/2078067632_zpid/
New construction,"Spruce Plan, Luxury Townhomes At Pine Bluffs, Parker, CO 80134","$394,900 ","Spruce Plan, Luxury Townhomes at Pine Bluffs",Parker,CO,80134,"1,519",https://www.zillow.com/community/luxury-townhomes-at-pine-bluffs/2085707257_zpid/
House for sale,"14044 Touchstone Point, Parker, CO 80134","$610,000 ",14044 Touchstone Point,Parker,CO,80134,"3,505",https://www.zillow.com/homedetails/14044-Touchstone-Point-Parker-CO-80134/119231734_zpid/
New construction,"9283 Twenty Mile Rd Unit 302, Parker, CO 80134","$372,520 ",9283 Twenty Mile Rd UNIT 302,Parker,CO,80134,"1,318",https://www.zillow.com/homedetails/9283-Twenty-Mile-Rd-UNIT-302-Parker-CO-80134/2078067836_zpid/
New construction,"Signature Series Plan Two Plan, Pradera, Parker, CO 80134","$689,950 ","Signature Series Plan Two Plan, Pradera",Parker,CO,80134,"2,811",https://www.zillow.com/community/pradera/2081380498_zpid/
House for sale,"10040 Quarry Hill Pl, Parker, CO 80134","$785,000 ",10040 Quarry Hill Pl,Parker,CO,80134,"4,997",https://www.zillow.com/homedetails/10040-Quarry-Hill-Pl-Parker-CO-80134/13468808_zpid/
New construction,"Hopewell Plan, Ridgeline At Meridian Village, Parker, CO 80134","$570,950 ","Hopewell Plan, Ridgeline at Meridian Village",Parker,CO,80134,"2,680",https://www.zillow.com/community/ridgeline-at-meridian-village/2078676551_zpid/
New construction,"Ashbrook Plan, Sierra Ridge : The Monarch Collection, Parker, CO 80134","$573,900 ","Ashbrook Plan, Sierra Ridge : The Monarch Collection",Parker,CO,80134,"2,574",https://www.zillow.com/community/sierra-ridge-monarch-collection/2096962946_zpid/
New construction,"11388 Iron Ore Ct, Parker, CO 80134","$467,100 ",11388 Iron Ore Ct,Parker,CO,80134,"1,920",https://www.zillow.com/homedetails/11388-Iron-Ore-Ct-Parker-CO-80134/249985101_zpid/
House for sale,"10535 Cottoneaster Way, Parker, CO 80134","$575,000 ",10535 Cottoneaster Way,Parker,CO,80134,"3,209",https://www.zillow.com/homedetails/10535-Cottoneaster-Way-Parker-CO-80134/13469225_zpid/
